iso2c,iso3c,country,year,gdp_percap,population,birth_rate,neonat_mortal_rate,region,income
AD,AND,Andorra,1996,,64291,10.9,2.8,Europe & Central Asia,High income
AD,AND,Andorra,1994,,62707,10.9,3.2,Europe & Central Asia,High income
AD,AND,Andorra,2003,,74783,10.3,2,Europe & Central Asia,High income
AD,AND,Andorra,1990,,54511,11.9,4.3,Europe & Central Asia,High income
AD,AND,Andorra,2009,,85474,9.9,1.7,Europe & Central Asia,High income
AD,AND,Andorra,2011,,82326,,1.6,Europe & Central Asia,High income
AD,AND,Andorra,2004,,78337,10.9,2,Europe & Central Asia,High income
AD,AND,Andorra,2010,,84419,9.8,1.7,Europe & Central Asia,High income
AD,AND,Andorra,2001,,67770,11.8,2.1,Europe & Central Asia,High income
AD,AND,Andorra,2002,,71046,11.2,2.1,Europe & Central Asia,High income
AD,AND,Andorra,1997,,64147,11.2,2.6,Europe & Central Asia,High income
AD,AND,Andorra,1993,,61003,11.4,3.4,Europe & Central Asia,High income
AD,AND,Andorra,2008,,85616,10.4,1.8,Europe & Central Asia,High income
AD,AND,Andorra,1999,,64161,12.6,2.3,Europe & Central Asia,High income
AD,AND,Andorra,2014,,72786,,1.5,Europe & Central Asia,High income
AD,AND,Andorra,2005,,81223,10.7,1.9,Europe & Central Asia,High income
AD,AND,Andorra,2012,,79316,9.5,1.6,Europe & Central Asia,High income
AD,AND,Andorra,2013,,75902,,1.5,Europe & Central Asia,High income
AD,AND,Andorra,1992,,58904,12.1,3.7,Europe & Central Asia,High income
AD,AND,Andorra,1995,,63854,11,3,Europe & Central Asia,High income
AD,AND,Andorra,1998,,63888,11.9,2.4,Europe & Central Asia,High income
AD,AND,Andorra,1991,,56674,11.9,4,Europe & Central Asia,High income
AD,AND,Andorra,2006,,83373,10.6,1.9,Europe & Central Asia,High income
AD,AND,Andorra,2007,,84878,10.1,1.8,Europe & Central Asia,High income
AD,AND,Andorra,2000,,65399,11.3,2.2,Europe & Central Asia,High income
AE,ARE,United Arab Emirates,1991,73036.99661,1913190,24.649,7.9,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1993,71959.87787,2127863,22.36,7.3,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2001,83533.55522,3217865,15.829,5.5,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1992,73154.27774,2019014,23.501,7.6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1994,74683.88859,2238281,21.263,6.9,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2007,75426.79351,6010100,12.814,4.7,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2004,87843.70811,3975945,14.24,5.1,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1996,79480.46748,2467726,19.309,6.4,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2006,82754.28198,5171255,13.255,4.9,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2000,84974.89409,3050128,16.399,5.6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1999,79262.38645,2884188,17.018,5.8,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1990,74017.30065,1811458,25.768,8.2,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1997,83165.26315,2595220,18.466,6.2,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2005,84338.35941,4481976,13.735,5,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1998,80040.2167,2733770,17.703,6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2008,69124.39621,6900142,12.423,4.6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2012,61172.99479,8952542,11.273,4,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2011,57594.12668,8734722,11.514,4.1,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2009,59100.38054,7705423,12.079,4.5,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,1995,77467.24484,2350192,20.239,6.6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2002,82369.68502,3394060,15.287,5.4,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2014,67921.39946,9086139,10.819,3.6,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2013,64229.46499,9039978,11.044,3.8,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2003,85563.63642,3625798,14.759,5.2,Middle East & North Africa,High income
AE,ARE,United Arab Emirates,2010,56245.47816,8329453,11.778,4.3,Middle East & North Africa,High income
AF,AFG,Afghanistan,2009,1525.517054,27207291,40.265,39.1,South Asia,Low income
AF,AFG,Afghanistan,2011,1712.58872,28809167,37.636,38.1,South Asia,Low income
AF,AFG,Afghanistan,1996,,17481800,49.039,47.5,South Asia,Low income
AF,AFG,Afghanistan,1993,,14824371,48.839,49.9,South Asia,Low income
AF,AFG,Afghanistan,1994,,15869967,48.898,49.1,South Asia,Low income
AF,AFG,Afghanistan,1991,,12789374,48.896,51.9,South Asia,Low income
AF,AFG,Afghanistan,2002,895.5991488,21487079,47.23,43.9,South Asia,Low income
AF,AFG,Afghanistan,2012,1934.285634,29726803,36.396,37.4,South Asia,Low income
AF,AFG,Afghanistan,2005,1039.408242,24399948,44.887,41.7,South Asia,Low income
AF,AFG,Afghanistan,2010,1629.16729,27962207,38.94,38.7,South Asia,Low income
AF,AFG,Afghanistan,2006,1095.655628,25183615,43.893,41,South Asia,Low income
AF,AFG,Afghanistan,2004,940.476299,23499850,45.761,42.5,South Asia,Low income
AF,AFG,Afghanistan,1992,,13745630,48.834,50.9,South Asia,Low income
AF,AFG,Afghanistan,1997,,18034130,49.036,47,South Asia,Low income
AF,AFG,Afghanistan,1995,,16772522,48.978,48.2,South Asia,Low income
AF,AFG,Afghanistan,2014,1939.954125,31627506,34.225,36.1,South Asia,Low income
AF,AFG,Afghanistan,2003,945.6869299,22507368,46.538,43.2,South Asia,Low income
AF,AFG,Afghanistan,2001,,20531160,47.835,44.5,South Asia,Low income
AF,AFG,Afghanistan,2000,,19701940,48.332,45.2,South Asia,Low income
AF,AFG,Afghanistan,1990,,12067570,49.029,52.8,South Asia,Low income
AF,AFG,Afghanistan,2007,1245.059223,25877544,42.779,40.4,South Asia,Low income
AF,AFG,Afghanistan,2008,1283.040986,26528741,41.56,39.8,South Asia,Low income
AF,AFG,Afghanistan,1999,,19038420,48.699,45.6,South Asia,Low income
AF,AFG,Afghanistan,2013,1941.898323,30682500,35.253,36.8,South Asia,Low income
AF,AFG,Afghanistan,1998,,18511480,48.93,46.1,South Asia,Low income
AG,ATG,Antigua and Barbuda,1997,13732.76683,72232,20.251,10.7,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1991,11594.57506,62412,18.879,14.1,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1992,11766.78311,63434,19.047,13.5,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2011,19987.92414,88152,16.763,5.8,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1996,13236.87073,70245,20.064,11.2,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2000,15312.5665,77648,20.24,9.4,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1998,14108.11207,74206,20.352,10.3,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1999,14554.48083,76041,20.351,9.9,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2014,22157.58162,90900,16.319,5.1,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1990,11087.01747,61906,18.779,14.7,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2004,17593.87624,81718,18.992,7.9,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2013,21008.14698,89985,16.447,5.3,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2009,21671.37575,86300,17.218,6.3,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1993,12415.41251,64868,19.274,12.9,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,1994,13141.20213,66550,19.54,12.3,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2005,19067.0683,82565,18.599,7.5,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2002,15372.57819,80030,19.724,8.6,Latin America & Caribbean,Upper middle income
AG,ATG,Antigua and Barbuda,2003,16426.92431,80904,19.374,8.2,Latin America & Caribbean,Upper middle income
