NCESSchoolID,inputAddress,matchIndicator,matchType,outputAddress,lonLat,tigerLineId,unkDontCare
"470318001294","510 Wedgewood AVE, Nashville, TN, 37203","Match","Exact","510 Wedgewood Ave, NASHVILLE, TN, 37203","-86.76653,36.133068","97192003","L"
"60013811406","6401 Linda Vista Rd. Rm. 408, San Diego, CA, 92111","Match","Exact","6401 Linda Vista Rd, SAN DIEGO, CA, 92111","-117.1801,32.77171","195749094","R"
"130012000107","2875 Northside Dr NW, Atlanta, GA, 30305","Match","Non_Exact","2875 Northside Pkwy NW, ATLANTA, GA, 30305","-84.40742,33.833576","17334925","R"
"470318001298","120 Antioch PIKE, Nashville, TN, 37211","Match","Exact","120 Antioch Pike, NASHVILLE, TN, 37211","-86.72808,36.100887","97213278","R"
"130012000106","301 Peyton Rd SW, Atlanta, GA, 30311","Match","Exact","301 Peyton Rd SW, ATLANTA, GA, 30311","-84.47415,33.74825","17339767","R"
"470318001299","160 Antioch PIKE, Nashville, TN, 37211","Match","Exact","160 Antioch Pike, NASHVILLE, TN, 37211","-86.7292,36.1009","97213278","R"
"130012000103","3935 Rux Rd SW, Atlanta, GA, 30331","Match","Exact","3935 Rux Rd SW, ATLANTA, GA, 30331","-84.514946,33.69656","17337316","R"
"402529001890","11800 James L Dennis Drive, Oklahoma City, OK, 73162","Match","Exact","11800 James L Dennis Dr, OKLAHOMA CITY, OK, 73162","-97.63155,35.587166","100448495","R"
"470318001290","2500 Fairfax AVE, Nashville, TN, 37212","Match","Exact","2500 Fairfax Ave, NASHVILLE, TN, 37212","-86.81058,36.13506","606382939","R"
"402008002068","6718 N Martin Luther King Ave, Oklahoma City, OK, 73111","Match","Exact","6718 N Martin Luther King Ave, OKLAHOMA CITY, OK, 73111","-97.47658,35.542767","100448640","R"
"420076106025","5700 Wayne Avenue, Philadelphia, PA, 19144","Match","Exact","5700 Wayne Ave, PHILADELPHIA, PA, 19144","-75.17899,40.031776","131401072","L"
"180567002205","6501 Sunnyside Rd, Indianapolis, IN, 46236","Match","Exact","6501 Sunnyside Rd, INDIANAPOLIS, IN, 46236","-85.97318,39.87649","627295328","R"
"470318001283","4106 Kennedy AVE, Nashville, TN, 37216","Match","Exact","4106 Kennedy Ave, NASHVILLE, TN, 37216","-86.718506,36.217598","97194351","R"
"422457004859","1560 Ashlawn Dr, Pittsburgh, PA, 15241","Match","Exact","1560 Ashlawn Dr, PITTSBURGH, PA, 15241","-80.0931,40.324814","51618868","R"
"130012000118","2257 Bolling Brook Dr SW, Atlanta, GA, 30311","Match","Non_Exact","2257 Bollingbrook Dr SW, ATLANTA, GA, 30311","-84.46257,33.7352","17340726","R"
"130012000113","3181 Hogan Rd SW, Atlanta, GA, 30331","Match","Exact","3181 Hogan Rd SW, ATLANTA, GA, 30331","-84.49355,33.6781","17338404","R"
